113,1662028612,37.56,126.97,1,0,1,0,0,0
113,1662028999,37.56,126.97,1,0,1,0,0,0
W_L029,1662028999,37.57,126.832,1,0,0,1,0,0
150,1662028999,37.56,126.97,1,1,0,0,0,0
IMG_1137,1662028999,37.5283,126.932,1,1,0,0,0,0
65,1662028999,37.56,126.97,1,1,0,0,0,0
sample103,1662028999,37.6766,126.816,1,1,0,0,0,0
60,1662028999,37.56,126.97,1,1,0,0,0,0
52,1662028999,37.44,126.43,2,0,1,0,0,1
sample100,1662028999,37.6766,126.816,1,1,0,0,0,0
44,1662028999,37.44,126.43,1,1,0,0,0,0
W_L015,1662028999,37.57,126.832,1,1,0,0,0,0
113,1662029039,37.56,126.97,1,0,1,0,0,0
W_L029,1662029039,37.57,126.832,1,0,0,1,0,0
150,1662029039,37.56,126.97,1,1,0,0,0,0
IMG_1137,1662029039,37.5283,126.932,1,1,0,0,0,0
65,1662029039,37.56,126.97,1,1,0,0,0,0
sample103,1662029039,37.6766,126.816,1,1,0,0,0,0
60,1662029039,37.56,126.97,1,1,0,0,0,0
52,1662029039,37.44,126.43,2,0,1,0,0,1
sample100,1662029039,37.6766,126.816,1,1,0,0,0,0
44,1662029039,37.44,126.43,1,1,0,0,0,0
W_L015,1662029039,37.57,126.832,1,1,0,0,0,0
113,1662029097,37.56,126.97,1,0,1,0,0,0
W_L029,1662029097,37.57,126.832,1,0,0,1,0,0
150,1662029097,37.56,126.97,1,1,0,0,0,0
IMG_1137,1662029097,37.5283,126.932,1,1,0,0,0,0
65,1662029097,37.56,126.97,1,1,0,0,0,0
sample103,1662029097,37.6766,126.816,1,1,0,0,0,0
60,1662029097,37.56,126.97,1,1,0,0,0,0
52,1662029097,37.44,126.43,2,0,1,0,0,1
sample100,1662029097,37.6766,126.816,1,1,0,0,0,0
44,1662029097,37.44,126.43,1,1,0,0,0,0
W_L015,1662029097,37.57,126.832,1,1,0,0,0,0
137,1662029097,37.56,126.97,1,1,0,0,0,0
IMG_1060,1662029097,37.5283,126.932,2,1,1,0,0,0
18,1662029097,37.5791,126.89,1,1,0,0,0,0
W_L009,1662029097,37.57,126.832,1,1,0,0,0,0
64,1662029097,37.5731,126.9,1,0,1,0,0,0
113,1662029164,37.56,126.97,1,0,1,0,0,0
W_L029,1662029164,37.57,126.832,1,0,0,1,0,0
150,1662029164,37.56,126.97,1,1,0,0,0,0
IMG_1137,1662029164,37.5283,126.932,1,1,0,0,0,0
65,1662029164,37.56,126.97,1,1,0,0,0,0
sample103,1662029164,37.6766,126.816,1,1,0,0,0,0
60,1662029164,37.56,126.97,1,1,0,0,0,0
52,1662029164,37.44,126.43,2,0,1,0,0,1
sample100,1662029164,37.6766,126.816,1,1,0,0,0,0
44,1662029164,37.44,126.43,1,1,0,0,0,0
W_L015,1662029164,37.57,126.832,1,1,0,0,0,0
137,1662029164,37.56,126.97,1,1,0,0,0,0
IMG_1060,1662029164,37.5283,126.932,2,1,1,0,0,0
18,1662029164,37.5791,126.89,1,1,0,0,0,0
W_L009,1662029164,37.57,126.832,1,1,0,0,0,0
64,1662029164,37.5731,126.9,1,0,1,0,0,0
113,1662029279,37.56,126.97,1,0,1,0,0,0
W_L029,1662029279,37.57,126.832,1,0,0,1,0,0
150,1662029279,37.56,126.97,1,1,0,0,0,0
IMG_1137,1662029279,37.5283,126.932,1,1,0,0,0,0
65,1662029279,37.56,126.97,1,1,0,0,0,0
sample103,1662029279,37.6766,126.816,1,1,0,0,0,0
